Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-09-20,Продам ПП под мойку,25.0,₽/кг.,1200.0,кг.,Пластик
Открыто,2021-09-20,отходы пвд,5.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-09-20,8В не полигон,19000.0,₽/т.,60.0,т.,Макулатура
Открыто,2021-09-20," Полипропилен натуральный H085 птр ""8"" 40тн/мес",145.0,₽/кг.,40000.0,кг.,Пластик
Открыто,2021-09-03,Реализуем Масло Plurasafe CL HC 1400,189545.0,₽/т.,11.0,т.,Остальное
Открыто,2021-09-02,Продам : ПОГРУЗЧИК ,1000000.0,₽/шт.,1.0,шт.,Остальное
Открыто,2021-09-02,Отработанный теплоноситель Diphyl DT,7500.0,₽/куб.,20.0,куб.,Остальное
Открыто,2021-09-02,Вывезу отходы отходы ПВХ стружки,15.0,₽/кг.,16.0,т.,Пластик
Открыто,2021-09-02,Антиоксидант Агидол-2,303.0,₽/кг.,6405.0,кг.,Остальное
Открыто,2021-09-02,калия гидрат окиси твердый ,181.0,₽/кг.,28250.0,кг.,Остальное
Открыто,2021-09-02,Масло Норман-346,42.0,₽/кг.,41950.0,кг.,Остальное
Открыто,2021-09-02,Продам отходы ПП мешка ,16.0,₽/кг.,13.0,т.,Пластик
Открыто,2021-09-02,Продам Биг Бэг 2-4 стропы г.Фурманов,27.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-09-02,Продам  ведра ПП ( белые под мойку ),42.0,₽/кг.,8.0,т.,Пластик
Открыто,2021-09-01,ПНД Канистра,45.0,₽/кг.,17.0,т.,Пластик
Открыто,2021-09-01,Литник пвд ,50.0,₽/кг.,2500.0,кг.,Пластик
Открыто,2021-09-01,Деревянные ящики,3.0,₽/кг.,5.0,т.,Дерево
Открыто,2021-09-01,Литник Сбс/пэ с кальцитом ,45.0,₽/кг.,8.0,т.,Пластик
Открыто,2021-09-01,Продаю отходы пэт,20.0,₽/кг.,14.0,т.,Пластик
Открыто,2021-09-01,Продаю дробленный АБС,150.0,₽/кг.,14.0,т.,Пластик
Открыто,2021-09-01,Пэт бутылки прессованные,40.0,₽/кг.,4.0,т.,Пластик
Открыто,2021-09-01,Экотехногрунт,10000.0,₽/т.,448.0,т.,Остальное
Сделка закрыта,2021-08-31,ПС белый экструзия дробленка,1.0,₽/кг.,540.0,кг.,Пластик
Открыто,2021-08-31,"Переходящие гранулы ПП, ПВД, ПНД, ЛПВД",35.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-07,Мешки ПП,14.0,₽/т.,20000.0,кг.,Пластик
Открыто,2021-10-07,БАНАНОВЫЕ КОРОБКИ,75.0,₽/шт.,100.0,шт.,Макулатура
Открыто,2021-10-07,продам мешки пп для переработки из под сахара,26.0,₽/кг.,9.0,т.,Пластик
Открыто,2021-10-07,Керамическая насадка,5000.0,₽/т.,2.0,т.,Остальное
